line,category,citations,scope_or_qualification,result,source_context
314,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"competition (AIxCC finals, August 2025), and live enterprise-network experimental settings (ARTEMIS)."
325,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,admits XBOW and the AIxCC CRS cluster under that altered rule. These are counterfactual
392,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"r7sokaixcc2026 (R7)      & 2026 & in & n/a & survey(systematization); documents Atlantis, Buttercup,\\"
434,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,was inspired by an AIxCC finding (Sec.~\ref{sec:coevolution}); and the authors themselves note
512,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,% sections/06-exploitation.tex — AIxCC treated as competition + system-design case (spec §6).
513,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,\section{Exploitation and Validation: The AIxCC Case Study}
514,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,\label{sec:aixcc}
517,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"(AIxCC) is the only included setting in our corpus where discovery, proof-of-vulnerability"
535,AIxCC,openssfaixcc2026,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"real world CI/CD pipeline''~\cite{openssfaixcc2026}. Scoring rewarded finding vulnerabilities,"
550,AIxCC,r7sokaixcc2026,Trail of Bits participant account: 48 challenges / 23 repositories,PASS — scope explicit or no numerical claim,48 scored challenge projects drawn from 24 OSS-Fuzz repositories~\cite{r7sokaixcc2026}. This is
554,AIxCC,r7sokaixcc2026,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"all seven finalist teams~\cite{r7sokaixcc2026}. Crucially, the CRSs also surfaced real,"
564,AIxCC,darparesults2025,DARPA closeout aggregate: 63 final challenges; 54 unique synthetic vulnerabilities; 43 patches / 68%,PASS — scope explicit or no numerical claim,vulnerabilities~\cite{darparesults2025}; DARPA's scoring guide separately confirms both the
565,AIxCC,darpascoring2025,DARPA closeout aggregate: 63 final challenges; 54 unique synthetic vulnerabilities; 43 patches / 68%,PASS — scope explicit or no numerical claim,three-to-one patching incentive and the \$8.5M final prize pool~\cite{darpascoring2025}. The
582,AIxCC,"tobbuttercup2025,r7sokaixcc2026",AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"classes with ${>}90\%$ accuracy~\cite{tobbuttercup2025,r7sokaixcc2026}. \emph{Theori}"
586,AIxCC,"r7sokaixcc2026,tobbuttercup2025",AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"both the systematization analysis and the participant account~\cite{r7sokaixcc2026,tobbuttercup2025}."
598,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,\label{sec:aixcc-epistemics}
650,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,What AIxCC can and cannot establish follows directly. It demonstrates integrated
667,AIxCC,openssfaixcc2026,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"OSS-Fuzz reports~\cite{openssfaixcc2026} --- outcome adjudication, not discovery, was the"
672,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"Three boundaries govern what AIxCC evidence can support. First, E-class: competition forks with"
678,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"systematization), never press intermediaries. With those bounds, AIxCC demonstrates that"
683,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,% sections/07-patching.tex — B3 stream + AIxCC patching lessons + blind spots (spec §7).
690,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"repurposed for security, and the competition crucible of Sec.~\ref{sec:aixcc}."
709,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,precisely the gap AIxCC's oracle-gaming taxonomy names. CVE-Genie reproduces approximately 51\%
731,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,AIxCC provides the corpus's largest competition-based stress test of automated patching. Its lessons
738,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,patching emerged as a prominent mitigation strategy among the AIxCC architectures for LLM non-determinism --- Atlantis capped its
745,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,or PoCs against candidate patches. What remains sparsely documented outside the AIxCC
751,AIxCC,"openssfaixcc2026,tobbuttercup2025,taafc2025",AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"\$2M prize recycling into continuous hunting~\cite{openssfaixcc2026,tobbuttercup2025,taafc2025}"
774,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"DARPA AIxCC event, Team Atlanta discovered a null-pointer dereference in SQLite, which inspired"
782,AIxCC,darparesults2025,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,created transition incentives of up to \$200K per team to integrate CRSs into critical software~\cite{darparesults2025};
787,AIxCC,openssfaixcc2026,OpenSSF or team-relayed retrospective; not merged with DARPA or Trail of Bits denominator,PASS — scope explicit or no numerical claim,for FuzzingBrain and 25 vulnerabilities across 16 projects for OSS-CRS~\cite{openssfaixcc2026}.
799,GTG-1002,,single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,defender agentic publicity: Anthropic reports (as a single-source threat-intelligence assessment) that GTG-1002 used Claude Code for 80--90\% of an
801,GTG-1002,"anthropicgtgreport2025,anthropicgtg2025",single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,"selected by human operators''~\cite{anthropicgtgreport2025,anthropicgtg2025}. Directionality is"
811,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,model-release timing argument. We therefore do not generalize from the AIxCC--Google hub to the
813,AIxCC,darpa2023aixcc,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"\$29.5M denotes the cumulative program prize commitment announced in 2023~\cite{darpa2023aixcc}, \$8.5M denotes the"
814,AIxCC,darpascoring2025,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"final competition pool per DARPA's scoring guide~\cite{darpascoring2025}, and OpenSSF reports"
815,AIxCC,openssfaixcc2026,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,\$30.5M ultimately distributed across both rounds~\cite{openssfaixcc2026} --- distinct
817,AIxCC,darparesults2025,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,its earlier synthetic-vulnerability count from 70 to 63~\cite{darparesults2025}: an
833,AIxCC,darparesults2025,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,into critical software~\cite{darparesults2025}. Team Atlanta recycled half of its \$4M prize
847,AIxCC,openssfaixcc2026,OpenSSF or team-relayed retrospective; not merged with DARPA or Trail of Bits denominator,PASS — scope explicit or no numerical claim,findings for 42-b3yond-6ug~\cite{openssfaixcc2026}. These counts remain team-relayed; the
857,GTG-1002,,named GTG-1002 boundary case; no empirical claim on this line,PASS — no autonomy claim on this occurrence,"GTG-1002: a framework wrapping Claude Code with MCP tool access, jailbroken through task"
863,GTG-1002,"anthropicgtg2025,anthropicgtgreport2025",single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,"retaining strategic authorization at critical escalation points~\cite{anthropicgtg2025,anthropicgtgreport2025}. The"
921,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,AIxCC supplied operational evidence on outcome definitions. PoV re-execution establishes
937,AIxCC,darparesults2025,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"note~\cite{darparesults2025}, and prize accounting requires three scoped figures rather than"
938,AIxCC,darpa2023aixcc,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"one (\$29.5M cumulative commitment announced in 2023~\cite{darpa2023aixcc}, \$8.5M final pool, \$30.5M"
939,AIxCC,"darpascoring2025,openssfaixcc2026",AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"distributed~\cite{darpascoring2025,openssfaixcc2026}); these figures reflect different accounting scopes. These are administrative record"
995,AIxCC,openssfaixcc2026,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"reproduction of 27 AIxCC-derived issues~\cite{openssfaixcc2026}), and platform triage provides"
1015,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,corroboration where possible (AIxCC cost tables agree across participant and systematization
1017,GTG-1002,,single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,vendor-reported incident (GTG-1002) materially shapes the autonomy frontier of our corpus.
1101,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"testing of AIxCC-derived patches under alternate exploit inputs, sanitizer diversity, and"
1150,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,record says so: Project Zero named AIxCC's Team Atlanta as the inspiration for its SQLite
1152,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,AIxCC generated documented institutional follow-through---DARPA created transition incentives
1237,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,r7sokaixcc2026 & 2026 & survey(systematization) & n/a & n/a & competition & 2/3/2 & PDF\\
1257,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,% appendix-c.tex — dated AIxCC / industrial timeline (F3 data source)
1258,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,\section{AIxCC and Industrial Timeline}
1269,AIxCC,darpa2023aixcc,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,2023-08 & AIxCC announced; ${\sim}\$29.5$M cumulative program commitment~\cite{darpa2023aixcc} \\
1271,AIxCC,bigsleep2024,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,2024-11 & Big Sleep reports SQLite stack-buffer-underflow zero-day; cites AIxCC inspiration (edge D1); AFL 150 CPU-h fails to rediscover; no CVE assigned~\cite{bigsleep2024}\\
1276,AIxCC,"darparesults2025,tobbuttercup2025,taafc2025,darpascoring2025",Trail of Bits participant account: 48 challenges / 23 repositories,PASS — scope explicit or no numerical claim,"2025-08 & AFC finals: 48 challenges/23 repositories in the Trail of Bits account (R7 counts 24 OSS-Fuzz repositories); 143 h fully autonomous operation; 18 real vulns found; Atlanta \$4M / ToB \$3M / Theori \$1.5M; \$200K/team transition funding~\cite{darparesults2025,tobbuttercup2025,taafc2025,darpascoring2025}\\"
1277,GTG-1002,"anthropicgtg2025,anthropicgtgreport2025",single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,"2025-09 (detected), 2025-11 (reported) & Anthropic reports GTG-1002 campaign with an 80--90\% execution estimate; the incident remains a single-source, unresolved autonomy assessment~\cite{anthropicgtg2025,anthropicgtgreport2025}\\"
1278,AIxCC,"r7sokaixcc2026,openssfaixcc2026",Trail of Bits participant account: 48 challenges / 23 repositories,PASS — scope explicit or no numerical claim,"2026-02 & R7 AIxCC SoK preprint released; 2026-08 USENIX Security 26 publication; OpenSSF legacy retrospective: CRS SIG, FuzzingBrain 62v/26proj, OSS-CRS 25v/16proj~\cite{r7sokaixcc2026,openssfaixcc2026}\\"
1304,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"S0 & None (baseline) & 0 & XBOW & XBOW: $R$; AIxCC: $P,E$;"
1305,GTG-1002,,single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,"ARTEMIS: $P,V$; GTG-1002: uncertain \\"
1306,GTG-1002,,single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,"S1 & $R$ & 1 & XBOW & AIxCC: $P,E$; ARTEMIS: $P,V$; GTG-1002: uncertain \\"
1307,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"S2 & $P$ & 0 & AIxCC CRS & AIxCC: $E$; XBOW: $R$; ARTEMIS: $V,R$ \\"
1308,AIxCC,,AIxCC event/system context; no competing denominator asserted on this occurrence,PASS — scope explicit or no numerical claim,"S3 & $E$ & 0 & AIxCC CRS & AIxCC: $P$; XBOW: $R$; ARTEMIS: $P,V$ \\"
1309,GTG-1002,,single-source/vendor-reported incident; uncertainty and human-selection caveats retained in local context,PASS — no definitive autonomy classification,"S4 & $P,R,E$ & 2 & XBOW; AIxCC CRS & ARTEMIS: $V$; GTG-1002: uncertain \\"
