claim_id,section,claim_text,citation_key,source,exact_locator,primary_or_secondary,status,notes,date_updated
C27,S2,R4 = CSUR Vol58 Art134 Sheng et al. DOI 10.1145/3769082 detection-centric,r4-csur2025,dl.acm.org listing + citing metadata,DL page,LISTING-VERIFIED,issue-number [TO-VERIFY],,
C28,S2,R5 title verified on USENIX Sec26 index: SoK Attack and Defense Landscape of Agentic AI Systems,r5-usenix26-agentic-sok,usenix.org/conference/usenixsecurity26/technical-sessions,grep hit,FETCHED-INDEX-VERIFIED,full text pending,,
C29,S9,PrimeVul: prior benchmark label noise inflates capability; paired evaluation defeats GPT-4-level models; temporal splits proposed,primevul-how-far-are-we-2024,arXiv 2403.18624 local PDF,local TXT: F1-collapse & paired-eval discussion lines ~grep hits (3.09/68/paired/GPT-4); exact table pages pinned at camera-ready,PENDING-CLOSEREAD,LOCATORS-PINNED,,
C30,S2,Cybench is ICLR 2025 Oral,cybench2024,arXiv abs comment field,abs page comment,VERIFIED,primary,,
C31,S2,R5 verified: Kim(UCB/SNU)/Guo(UCSB)/Song(UCB); systematizes security OF agent systems not agents-vs-software loop; prepub PDF local,r5usenix26agentic,USENIX Sec26 prepub PDF,title page+abstract,PRIMARY,CLOSED-PRIMARY,,2026-08-26
C32,S6/ApxC,DARPA finals: 63 synthetic vulns (corrected from 70); 54 found=86pct; 43 patched=68pct; plus 18 real non-synthetic (6C/12Java); 11 real patches; one parallel maintainer fix,aicyberchallenge finals-winners-announcement,official program site,announcement+editor note (snippet-verified; direct fetch queued),OFFICIAL-SNIPPET,CLOSED-DARPA-PRIMARY,Supervisor-verified darpa.mil/news/2025/aixcc-results 2026-08-26 (local fetch CDN-blocked); aggregates restored via darparesults2025; darpascoring2025 confirms 3x incentive + $8.5M pool,2026-08-26
C33,S6,Scoring incentive: 6 points per PATCH vs 2 per DISCOVERY,teamatlanta related post,team-atlanta.github.io,"""awards more points for patching...6 vs 2""",PRIMARY,CLOSED-PRIMARY,,2026-08-26
C34,S7,Patch-oracle gaming taxonomy: MTE/PAC recompile; broad catch(Exception); PoV-rerun='likely correct'; test.sh secondary oracle,teamatlanta-afc2025,Team Atlanta blog 2025-08-12,L2 section,PRIMARY,CLOSED-PRIMARY,,2026-08-26
C35,S7,Theori PoV-free patching 44.4pct acc -> modifier 0.9044 vs Atlantis PoV-validated 91.27 -> 0.9999,teamatlanta-afc2025,same,scoreboard discussion,PRIMARY,CLOSED-PRIMARY,,2026-08-26
C36,S8/B4,Transition funding $200K/team DARPA+ARPA-H; TA donated $2M (50pct prize) to SSLab continuous hunting; OpenAI credits,tob-buttercup2025 + teamatlanta-afc2025,two independent primaries,respective sections,CORROBORATED,CLOSED,,2026-08-26
C37,S9/V4,fuzz-path heuristic nearly killed winning CRS after ossfuzz dir prefix change,teamatlanta-afc2025,same,opening anecdote,PRIMARY,CLOSED-PRIMARY,,2026-08-26
C38,S5,OSS-Fuzz AI automates steps1-4 incl triage; fixing future; agents roadmap => A1 anchor,ossfuzz-levelingup-2024,Google Security Blog 2024-11-20,workflow sections,PRIMARY,CLOSED-PRIMARY,,2026-08-26
C39,S6,Buttercup exclusively non-reasoning LLMs; $181/point; >100k LLM requests; <5min first score,tob-buttercup2025,ToB blog,achievements sections,CORROBORATED(costs match R7),CLOSED,,2026-08-26
C40,B3-stream,B3 IDs verified: SWE-agent 2405.15793; AutoCodeRover 2404.05427; Agentless 2407.01489; OSS-Fuzz-fix 2411.03346; Risse-Bohme 2408.12986,multiple,arXiv abs pages 2026-08-26,titles on abs pages,PRIMARY-IDLEVEL,CLOSED,,2026-08-26
C41,S8,'the AI autonomously discovered vulnerabilities in targets selected by human operators',anthropic-gtg1002-report-2025,full report PDF,exec summary area,PRIMARY,CLOSED-PRIMARY,,2026-08-26
