reference_key,canonical_filename,title,authors,year,venue,source_type,primary_or_secondary,DOI,arxiv_id,canonical_url,pdf_path,txt_path,download_date,source_verified,conversion_status,title_verified,citation_verified,notes,provenance_type,bib_key
cyberseceval-v3-2024,cyberseceval-v3-2024.pdf,CYBERSECEVAL 3: Advancing the Evaluation of Cybersecurity Risks and Capabilities in Large Language Models,Meta,2024,arXiv preprint,academic-paper,PRIMARY,10.48550/arXiv.2408.01605,2408.01605,https://arxiv.org/abs/2408.01605,references/pdf/cyberseceval-v3-2024.pdf,references/txt/cyberseceval-v3-2024.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,csev32024
nyu-ctf-bench-2024,nyu-ctf-bench-2024.pdf,NYU CTF Bench: A Scalable Open-Source Benchmark Dataset for Evaluating LLMs in Offensive Security,NYU agent lab,2024,arXiv preprint (+dataset),academic-paper,PRIMARY,10.48550/arXiv.2406.05590,2406.05590,https://arxiv.org/abs/2406.05590,references/pdf/nyu-ctf-bench-2024.pdf,references/txt/nyu-ctf-bench-2024.txt,2026-08-26,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,nyuctfbench2024
cybench-2024,cybench-2024.pdf,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,(Stanford/MIT et al.),2024,ICLR 2025 Oral,academic-paper,PRIMARY,10.48550/arXiv.2408.08926,2408.08926,https://arxiv.org/abs/2408.08926,references/pdf/cybench-2024.pdf,references/txt/cybench-2024.txt,2026-08-26,yes,pdf+txt OK,yes,ORAL-VERIFIED,comment field on abs page confirms ICLR 2025 Oral,PDF+TXT,cybench2024
primevul-how-far-are-we-2024,primevul-how-far-are-we-2024.pdf,Vulnerability Detection with Code Language Models: How Far Are We?,Ding et al.,2024,arXiv preprint,academic-paper,PRIMARY,10.48550/arXiv.2403.18624,2403.18624,https://arxiv.org/abs/2403.18624,references/pdf/primevul-how-far-are-we-2024.pdf,references/txt/primevul-how-far-are-we-2024.txt,2026-08-26,yes,pdf+txt OK,yes,ID-RESOLVED-VIA-SEARCH,label-noise/temporal-split validity anchor,PDF+TXT,primevul2024
pz-bigsleep-sqlite-2024,(html->notes),From Naptime to Big Sleep,Big Sleep team (PZ+DeepMind),2024,projectzero.google,vendor-research-blog,PRIMARY,,NONE,https://projectzero.google/2024/10/from-naptime-to-big-sleep.html,,references/txt/pz-bigsleep-sqlite-2024.txt,2026-08-26,FULL-TEXT-FETCHED,evidence-extract-file,yes,QUOTES-RECORDED,direct egress blocked; fetched via webfetch tool; dateline 2024-Nov-01,HTML+EXTRACT,bigsleep2024
xbow-top1-2025,(html->notes),The Road to Top 1: How XBOW Did It,Nico Waisman (XBOW),2025,xbow.com,vendor-blog,PRIMARY,,,https://xbow.com/blog/top-1-how-xbow-did-it,,references/txt/xbow-top1-2025.txt,2026-08-26,FULL-TEXT-FETCHED,evidence-extract-file,yes,yes,1060/130/303/33 + human-review policy verified verbatim,HTML+EXTRACT,xbowtop12025
anthropic-gtg1002-espionage-2025,(html->notes),Disrupting the first reported AI-orchestrated cyber espionage campaign,Anthropic Threat Intelligence,2025,anthropic.com,vendor-threat-report-summary,PRIMARY,,,https://www.anthropic.com/news/disrupting-AI-espionage,,references/txt/anthropic-gtg1002-espionage-2025.txt,2026-08-26,FULL-TEXT-FETCHED,evidence-extract-file,yes,yes,80-90% autonomous + hallucination caveat verified,HTML+EXTRACT,anthropicgtg2025
darknavy-argusee-2025,(html->notes),Argusee: A Multi-Agent Collaborative Architecture for Automated Vulnerability Discovery,DARKNAVY,2025,darknavy.org,vendor-research-blog,PRIMARY-text/CLAIMED,,,https://www.darknavy.org/blog/argusee_a_multi_agent_collaborative_architecture_for_automated_vulnerability_discovery/,,references/txt/darknavy-argusee-2025.txt,2026-08-26,FULL-TEXT-FETCHED,evidence-extract-file,yes,QUOTES-RECORDED,CVE-2025-37891 + entry-point dependency + CSEv2 100% BO,HTML+EXTRACT,darknavyargusee2025
openssf-aixcc-retrospective-2026,(html->notes),Hack to the Future: The Impact and Legacy of the DARPA AIxCC Challenge,Helen Woeste (OpenSSF/OSTIF),2026,openssf.org,foundation-blog,PRIMARY,,,https://openssf.org/blog/2026/05/12/hack-to-the-future-the-impact-and-legacy-of-the-darpa-aixcc-challenge/,,references/txt/openssf-aixcc-retrospective-2026.txt,2026-08-26,FULL-TEXT-FETCHED,evidence-extract-file,yes,yes,$30.5M vs spec ~$29.5M; Ada Logics 27 confirmed; B4 legacy stats,HTML+EXTRACT,openssfaixcc2026
nvd-cve-2025-6965,(registry),CVE-2025-6965 Detail,NVD/Google CNA,2025,nvd.nist.gov,cve-registry,PRIMARY,,,https://nvd.nist.gov/vuln/detail/CVE-2025-6965,,references/txt/nvd-cve-2025-6965-full.txt,2026-08-26,VIA-LOCAL-FULLTEXT,registry-metadata,yes,yes,CWE-197; published 2025-07-15; Google CNA,PDF+TXT,nvd6965
tob-buttercup-2025,(html->notes),Trail of Bits Buttercup wins 2nd,Dan Guido (ToB),2025,blog.trailofbits.com,vendor-blog,PRIMARY,,NONE,https://blog.trailofbits.com/2025/08/09/trail-of-bits-buttercup-wins-2nd-place-in-aixcc-challenge/,,references/txt/tob-buttercup-2025.txt,2026-08-26,FULLTEXT,evidence-extract,yes,COST-TABLE-CROSSCHECKED,28v+19p+human-prohibition verified,HTML+EXTRACT,tobbuttercup2025
teamatlanta-sqlite-asc-2024,(html->notes),Autonomously Uncovering and Fixing Hidden Vuln SQLite3,Hanqing Zhao,2024,team-atlanta.github.io,team-blog,PRIMARY,,NONE,https://team-atlanta.github.io/blog/post-asc-sqlite/,,references/txt/teamatlanta-sqlite-asc2024.txt,2026-08-26,FULLTEXT,evidence-extract,yes,OFFICIAL-COMMIT-XREF,ASC real bug found+patched,HTML+EXTRACT,taasc2024
teamatlanta-afc-2025,(html->notes),AIxCC Final and Team Atlanta,Taesoo Kim,2025,team-atlanta.github.io,team-blog,PRIMARY,,NONE,https://team-atlanta.github.io/blog/post-afc,,references/txt/teamatlanta-afc-2025.txt,2026-08-26,FULLTEXT,evidence-extract,yes,ORACLE-GAMING-TAXONOMY,AFC winner retrospective,HTML+EXTRACT,taafc2025
bloggoogle-summer-2025,(html->notes),A summer of security,Kent Walker,2025,blog.google,corporate-blog,PRIMARY,,NONE,https://blog.google/innovation-and-ai/technology/safety-security/cybersecurity-updates-summer-2025/,,references/txt/bloggoogle-summer2025.txt,2026-08-26,GREP-VERIFIED,evidence-extract,yes,C23-CLOSED,CVE-2025-6965 phrase verbatim,HTML+GREP-VERIFIED,bloggoogle2025
ossfuzz-levelingup-2024,(html->notes),Leveling Up Fuzzing,Chang/Liu/Metzman,2024,security.googleblog.com,corporate-blog,PRIMARY,,NONE,https://security.googleblog.com/2024/11/leveling-up-fuzzing-finding-more.html,,references/txt/ossfuzz-levelingup-2024.txt,2026-08-26,FULLTEXT,evidence-extract,yes,C21-CLOSED,26 vulns + CVE-2024-9143,WEBFETCH-FULLTEXT,ossfuzz-levelingup-2024
ossfuzz-aifixing-2024,ossfuzz-aifixing-2024.pdf,Fixing Security Vulnerabilities with AI in OSS-Fuzz,"Zhang, Yuntong and Wang, Jiawei and Berzin, Dominic and Mirchev, Martin and Liu, Dongge and Arya, Abhishek and Chang, Oliver and Roychoudhury, Abhik",2024,arXiv,academic-paper,PRIMARY,10.48550/arXiv.2411.03346,2411.03346,https://arxiv.org/abs/2411.03346,references/pdf/ossfuzz-aifixing-2024.pdf,references/txt/ossfuzz-aifixing-2024.txt,2026-08-26,yes,pdf+txt OK,yes,yes,B3 stream anchor,PDF+TXT,ossfuzz-aifixing-2024
sweagent-2024,sweagent-2024.pdf,SWE-agent,"Yang, John and Jimenez, Carlos E. and Wettig, Alexander and Lieret, Kilian and Yao, Shunyu and Narasimhan, Karthik and Press, Ofir",2024,arXiv,academic-paper,PRIMARY,10.48550/arXiv.2405.15793,2405.15793,https://arxiv.org/abs/2405.15793,references/pdf/sweagent-2024.pdf,references/txt/sweagent-2024.txt,2026-08-26,yes,pdf+txt OK,yes,yes,SE repair agents,PDF+TXT,sweagent2024
autocoderoever-2024,autocoderoever-2024.pdf,AutoCodeRover,"Zhang, Yuntong and Ruan, Haifeng and Fan, Zhiyu and Roychoudhury, Abhik",2024,ISSTA 2024 (arXiv v3),academic-paper,PRIMARY,10.48550/arXiv.2404.05427,2404.05427,https://arxiv.org/abs/2404.05427,references/pdf/autocoderoever-2024.pdf,references/txt/autocoderoever-2024.txt,2026-08-26,yes,pdf+txt OK,yes,yes,B3 localization+repair,PDF+TXT,autocoderoever-2024
agentless-2024,agentless-2024.pdf,Agentless,"Xia, Chunqiu Steven and Deng, Yinlin and Dunn, Soren and Zhang, Lingming",2024,arXiv,academic-paper,PRIMARY,10.48550/arXiv.2407.01489,2407.01489,https://arxiv.org/abs/2407.01489,references/pdf/agentless-2024.pdf,references/txt/agentless-2024.txt,2026-08-26,yes,pdf+txt OK,yes,yes,pipeline-vs-agent B3,PDF+TXT,agentless2024
r5-usenix26-agentic-sok,r5-usenix26-agentic-sok.pdf,SoK Attack and Defense Landscape of Agentic AI Systems,Juhee Kim; Wenbo Guo; Dawn Song,2026,USENIX Security 26,influential-preprint,PRIMARY,,PREPUB-PDF,https://www.usenix.org/conference/usenixsecurity26/presentation/kim-juhee-agentic,references/pdf/r5-usenix26-agentic-sok.pdf,references/txt/r5-usenix26-agentic-sok.txt,2026-08-26,yes,pdf+txt OK,title-authors-verified,R5-UPGRADED-FULLTEXT,prepublication PDF,PDF+TXT,r5usenix26agentic
r1slr2024,r1-slr-llm-cybersec-2024.pdf,"When LLMs Meet Cybersecurity: A Systematic Literature Review","Zhang, Jie and Bu, Haoyu and Wen, Hui and Liu, Yongji and Fei, Haiqiang and Xi, Rongrong and Li, Lun and Yang, Yun and Zhu, Hongsong and Meng, Dan",2024,arXiv preprint,peer_reviewed_paper,PRIMARY,,2405.03644,https://arxiv.org/abs/2405.03644,references/pdf/r1-slr-llm-cybersec-2024.pdf,references/txt/r1-slr-llm-cybersec-2024.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,r1slr2024
r2slr2024,r2-slr-llm-code-security-2024.pdf,"From Vulnerabilities to Remediation: A Systematic Literature Review of LLMs in Code Security","Basic, Enna and Giaretta, Alberto",2024,arXiv preprint,peer_reviewed_paper,PRIMARY,,2412.15004,https://arxiv.org/abs/2412.15004,references/pdf/r2-slr-llm-code-security-2024.pdf,references/txt/r2-slr-llm-code-security-2024.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,r2slr2024
r3survey2026,r3-survey-llm-pentest-2026.pdf,"A Survey of LLM-Driven Penetration Testing: Taxonomy, Co-Evolution, and Open Challenges","He, Zheyuan and Dong, Jiaxun and Li, Zihao and Chen, Ting and Deng, Gelei and Luo, Feng and Ji, Jinkun and Cao, Yuanlong and Luo, Xiapu",2026,arXiv preprint,peer_reviewed_paper,PRIMARY,,2607.02605,https://arxiv.org/abs/2607.02605,references/pdf/r3-survey-llm-pentest-2026.pdf,references/txt/r3-survey-llm-pentest-2026.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,post-window source; current preprint submitted 2026-07-01,PDF+TXT,r3survey2026
r4csur2025,,"Large Language Models in Software Security: A Survey of Vulnerability Detection Techniques and Insights","Sheng, Zhen and Chen, Zhenpeng and Gu, Sharven and Huang, Haoran and Gu, Gang and Huang, Jianhai",2026,ACM Computing Surveys 58(5) Art134,peer_reviewed_paper,PRIMARY,10.1145/3769082,,https://doi.org/10.1145/3769082,,,2026-08-27,DOI-INDEX-VERIFIED,metadata-only,yes,METADATA-VERIFIED,full text paywalled; DOI/index metadata verified,REPO-METADATA-ONLY,r4csur2025
r6tosem2026,,"A Systematic Literature Review on Detecting Software Vulnerabilities with Large Language Models","Kaniewski, Sabrina and Schmidt, Fabian and Enzweiler, Markus and Menth, Michael and Heer, Tobias",2026,ACM Transactions on Software Engineering and Methodology,peer_reviewed_paper,PRIMARY,10.1145/3815425,,https://doi.org/10.1145/3815425,,,2026-08-27,DOI-INDEX-VERIFIED,metadata-only,yes,METADATA-VERIFIED,full text paywalled; author-repository metadata supports identity,REPO-METADATA-ONLY,r6tosem2026
rissebohme-wrongexam2024,risse-bohme-wrong-exam-2024.pdf,"Top Score on the Wrong Exam: On Benchmarking in Machine Learning for Vulnerability Detection","Risse, Niklas and Liu, Jing and Böhme, Marcel",2024,arXiv preprint,peer_reviewed_paper,PRIMARY,,2408.12986,https://arxiv.org/abs/2408.12986,references/pdf/risse-bohme-wrong-exam-2024.pdf,references/txt/risse-bohme-wrong-exam-2024.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,rissebohme-wrongexam2024
anthropicgtgreport2025,(html->notes),Disrupting the First Reported AI-Orchestrated Cyber Espionage Campaign (Full Report),{Anthropic Threat Intelligence},2025,anthropic.com,vendor_report,PRIMARY,,,https://www-cdn.anthropic.com/d7dd50dd1185f59be051b307150d877f2b82bd2c.pdf,,references/txt/anthropic-gtg1002-report-2025.txt,2026-08-27,WEBFETCH-FULLTEXT,evidence-extract-file,yes,yes,vendor full-report extract; designation and human checkpoints verified,HTML+EXTRACT,anthropicgtgreport2025
darparesults2025,(html),AI Cyber Challenge Marks Pivotal Inflection Point for Cyber Defense,{DARPA},2025,darpa.mil,darpa_official,PRIMARY,,,https://www.darpa.mil/news/2025/aixcc-results,,,2026-08-27,WEBFETCH-FULLTEXT,official page,yes,yes,54/63 and 43/68 aggregates; 70-to-63 editor correction,WEBFETCH-FULLTEXT,darparesults2025
darpascoring2025,(html),DARPA's AI Cyber Challenge Releases Scoring Guide for the 8.5 Million Dollar Final Competition,{DARPA},2025,darpa.mil,darpa_official,PRIMARY,,,https://www.darpa.mil/news/2025/ai-cyber-challenge-scoring,,,2026-08-27,WEBFETCH-FULLTEXT,official page,yes,yes,three-to-one patch incentive and $8.5M final pool,WEBFETCH-FULLTEXT,darpascoring2025
darpa2023aixcc,,DARPA Launches the AI Cyber Challenge,{DARPA},2023,darpa.mil,darpa_official,PRIMARY,,,https://www.darpa.mil/news/2023/ai-cyber-challenge-opens,,,2026-08-27,WEBFETCH-FULLTEXT,official page,yes,yes,2023 announcement; cumulative $29.5M program commitment,WEBFETCH-FULLTEXT,darpa2023aixcc
cvegenie2025,cve-genie-2025.pdf,"From CVE Entries to Verifiable Exploits: An Automated Multi-Agent Framework for Reproducing CVEs","Ullah, Saad and Balasubramanian, Praneeth and Guo, Wenbo and Burnett, Amanda and Pearce, Hammond and Kruegel, Christopher and Vigna, Giovanni and Stringhini, Gianluca",2025,arXiv preprint,peer_reviewed_paper,PRIMARY,,2509.01835,https://arxiv.org/abs/2509.01835,references/pdf/cve-genie-2025.pdf,references/txt/cve-genie-2025.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,cvegenie2025
patcheval2025,patcheval-2025.pdf,"PATCHEVAL: A New Benchmark for Evaluating LLMs on Patching Real-World Vulnerabilities","Wei, Zichao and Zeng, Jun and Wen, Ming and Yu, Zeliang and Cheng, Kai and Zhu, Yiding and Guo, Jingyi and Zhou, Shiqi and Yin, Le and Su, Xiaodong and Ma, Zhechao",2025,arXiv preprint,peer_reviewed_paper,PRIMARY,,2511.11019,https://arxiv.org/abs/2511.11019,references/pdf/patcheval-2025.pdf,references/txt/patcheval-2025.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,patcheval2025
llmaprsurvey2026,llm-apr-survey-2026.pdf,"A Systematic Study of LLM-Based Architectures for Automated Patching","Xu, Qingxiao and Sheng, Ze and Chen, Zhicheng and Huang, Jeff",2026,arXiv preprint,peer_reviewed_paper,PRIMARY,,2603.01257,https://arxiv.org/abs/2603.01257,references/pdf/llm-apr-survey-2026.pdf,references/txt/llm-apr-survey-2026.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,BibTeX title verified against local PDF; differs from legacy survey wording,PDF+TXT,llmaprsurvey2026
logsinpatchesout2025,logs-in-patches-out-2025.pdf,"Logs In, Patches Out: Automated Vulnerability Repair via Tree-of-Thought LLM Analysis","Kim, Youngjoon and Shin, Sunguk and Kim, Hyoungshick and Yoon, Jiwon",2025,34th USENIX Security Symposium (USENIX Security 25),peer_reviewed_paper,PRIMARY,,,https://www.usenix.org/conference/usenixsecurity25/presentation/kim-youngjoon,references/pdf/logs-in-patches-out-2025.pdf,references/txt/logs-in-patches-out-2025.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,logsinpatchesout2025
cvebench2025,cve-bench-2025.pdf,"CVE-Bench: A Benchmark for AI Agents' Ability to Exploit Real-World Web Application Vulnerabilities","Zhu, Yuxuan and Kellermann, Antony and Bowman, Dylan and Li, Philip and Gupta, Akul and Danda, Adarsh and Fang, Richard and Jensen, Conner and Ihli, Eric and Benn, Jason and Geronimo, Jet and Dhir, Avi and Rao, Sudhit and Yu, Kaicheng and Stone, Twm and Kang, Daniel",2025,ICML 2025,peer_reviewed_paper,PRIMARY,,,https://proceedings.mlr.press/v267/zhu25i.html,references/pdf/cve-bench-2025.pdf,references/txt/cve-bench-2025.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,cvebench2025
pentestgpt2024,pentestgpt-2024.pdf,"PentestGPT: Evaluating and Harnessing Large Language Models for Automated Penetration Testing","Deng, Gelei and Liu, Yi and Mayoral-Vilches, V{\\'\\i}ctor and Liu, Peng and Li, Yuekang and Xu, Yuan and Zhang, Tianwei and Liu, Yang and Pinzger, Martin and Rass, Stefan",2024,33rd USENIX Security Symposium (USENIX Security 24),peer_reviewed_paper,PRIMARY,,,https://www.usenix.org/conference/usenixsecurity24/presentation/deng,references/pdf/pentestgpt-2024.pdf,references/txt/pentestgpt-2024.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,pentestgpt2024
coredteam2026,co-redteam-2026.pdf,"Co-RedTeam: Orchestrated Security Discovery and Exploitation with LLM Agents","He, Pengfei and Fox, Ash and Miculicich, Lesly and Friedli, Stefan and Fabian, Daniel and Gokturk, Burak and Tang, Jiliang and Lee, Chen-Yu and Pfister, Tomas and Le, Long T.",2026,arXiv preprint,peer_reviewed_paper,PRIMARY,,2602.02164,https://arxiv.org/abs/2602.02164,references/pdf/co-redteam-2026.pdf,references/txt/co-redteam-2026.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,coredteam2026
cybergym2026,,CyberGym: Evaluating AI Agents' Cybersecurity Capabilities with Real-World Vulnerabilities at Scale,"Wang, Zhun and Shi, Tianneng and He, Jingxuan and Cai, Matthew and Zhang, Jialin and Song, Dawn",2026,ICLR 2026,peer_reviewed_paper,PRIMARY,,2506.02548,https://arxiv.org/abs/2506.02548,references/pdf/cybergym-2025.pdf,references/txt/cybergym-2025.txt,2026-08-27,yes,pdf+txt OK,yes,yes,local file is arXiv v3/ICLR 2026 despite legacy filename,PDF+TXT,cybergym2026
llm4cve2025,llm4cve-2025.pdf,"LLM4CVE: Enabling Iterative Automated Vulnerability Repair with Large Language Models","Fakih, Mohamad and Dharmaji, Rahul and Bouzidi, Halima and Araya, Gustavo Quiros and Ogundare, Oluwatosin and Al Faruque, Mohammad Abdullah",2025,arXiv preprint,peer_reviewed_paper,PRIMARY,,2501.03446,https://arxiv.org/abs/2501.03446,references/pdf/llm4cve-2025.pdf,references/txt/llm4cve-2025.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,llm4cve2025
repoaudit2025,repoaudit-2025.pdf,"RepoAudit: An Autonomous LLM-Agent for Repository-Level Code Auditing","Guo, Yue and Wang, Chen and Xu, Xiang and Su, Zhiqiang and Zhang, Xuanda",2025,arXiv preprint,peer_reviewed_paper,PRIMARY,,2501.18160,https://arxiv.org/abs/2501.18160,references/pdf/repoaudit-2025.pdf,references/txt/repoaudit-2025.txt,2026-08-27,yes,pdf+txt OK,yes,LOCAL-PDF-VERIFIED,,PDF+TXT,repoaudit2025
