audit_head,bib_key,entry_type,bib_year,manifest_year,venue,source_access,local_pdf,local_txt,identity_check,metadata_check,claim_use_scope,version_scope,notes
80f6ce263b2ef78e14437752d0f54305c41ae9da,csev32024,current refs.bib entry,2024,2024,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,nyuctfbench2024,current refs.bib entry,2024,2024,arXiv preprint (+dataset),full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,cybench2024,current refs.bib entry,2024,2024,ICLR 2025 Oral,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,arXiv identifier 2408; ICLR publication year 2025; manifest retains corpus/preprint key year 2024,comment field on abs page confirms ICLR 2025 Oral
80f6ce263b2ef78e14437752d0f54305c41ae9da,primevul2024,current refs.bib entry,2024,2024,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,label-noise/temporal-split validity anchor
80f6ce263b2ef78e14437752d0f54305c41ae9da,bigsleep2024,current refs.bib entry,2024,2024,projectzero.google,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,direct egress blocked; fetched via webfetch tool; dateline 2024-Nov-01
80f6ce263b2ef78e14437752d0f54305c41ae9da,xbowtop12025,current refs.bib entry,2025,2025,xbow.com,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,1060/130/303/33 + human-review policy verified verbatim
80f6ce263b2ef78e14437752d0f54305c41ae9da,anthropicgtg2025,current refs.bib entry,2025,2025,anthropic.com,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,80-90% autonomous + hallucination caveat verified
80f6ce263b2ef78e14437752d0f54305c41ae9da,darknavyargusee2025,current refs.bib entry,2025,2025,darknavy.org,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,CVE-2025-37891 + entry-point dependency + CSEv2 100% BO
80f6ce263b2ef78e14437752d0f54305c41ae9da,openssfaixcc2026,current refs.bib entry,2026,2026,openssf.org,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,$30.5M vs spec ~$29.5M; Ada Logics 27 confirmed; B4 legacy stats
80f6ce263b2ef78e14437752d0f54305c41ae9da,nvd6965,current refs.bib entry,2025,2025,nvd.nist.gov,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,CWE-197; published 2025-07-15; Google CNA
80f6ce263b2ef78e14437752d0f54305c41ae9da,tobbuttercup2025,current refs.bib entry,2025,2025,blog.trailofbits.com,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,28v+19p+human-prohibition verified
80f6ce263b2ef78e14437752d0f54305c41ae9da,taasc2024,current refs.bib entry,2024,2024,team-atlanta.github.io,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,ASC real bug found+patched
80f6ce263b2ef78e14437752d0f54305c41ae9da,taafc2025,current refs.bib entry,2025,2025,team-atlanta.github.io,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,AFC winner retrospective
80f6ce263b2ef78e14437752d0f54305c41ae9da,bloggoogle2025,current refs.bib entry,2025,2025,blog.google,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,CVE-2025-6965 phrase verbatim
80f6ce263b2ef78e14437752d0f54305c41ae9da,ossfuzz-levelingup-2024,current refs.bib entry,2024,2024,security.googleblog.com,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,26 vulns + CVE-2024-9143
80f6ce263b2ef78e14437752d0f54305c41ae9da,ossfuzz-aifixing-2024,current refs.bib entry,2024,2024,arXiv,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,B3 stream anchor
80f6ce263b2ef78e14437752d0f54305c41ae9da,sweagent2024,current refs.bib entry,2024,2024,arXiv,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,SE repair agents
80f6ce263b2ef78e14437752d0f54305c41ae9da,autocoderoever-2024,current refs.bib entry,2024,2024,ISSTA 2024 (arXiv v3),full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,B3 localization+repair
80f6ce263b2ef78e14437752d0f54305c41ae9da,agentless2024,current refs.bib entry,2024,2024,arXiv,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,pipeline-vs-agent B3
80f6ce263b2ef78e14437752d0f54305c41ae9da,r5usenix26agentic,current refs.bib entry,2026,2026,USENIX Security 26,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,prepublication PDF
80f6ce263b2ef78e14437752d0f54305c41ae9da,r1slr2024,current refs.bib entry,2024,2024,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,r2slr2024,current refs.bib entry,2024,2024,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,r3survey2026,current refs.bib entry,2026,2026,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,post-window source; current preprint submitted 2026-07-01
80f6ce263b2ef78e14437752d0f54305c41ae9da,r4csur2025,current refs.bib entry,2026,2026,ACM Computing Surveys 58(5) Art134,metadata-only/paywalled,False,False,LIMITED: DOI/index or repository metadata,LIMITED: no full text,QUALIFIED ONLY: detailed empirical claims require full text,"DOI/index metadata identifies ACM CSUR 58(5), Article 134 (2026)",full text paywalled; DOI/index metadata verified
80f6ce263b2ef78e14437752d0f54305c41ae9da,r6tosem2026,current refs.bib entry,2026,2026,ACM Transactions on Software Engineering and Methodology,metadata-only/paywalled,False,False,LIMITED: DOI/index or repository metadata,LIMITED: no full text,QUALIFIED ONLY: detailed empirical claims require full text,DOI/author-repository metadata identifies ACM TOSEM (2026); full text paywalled,full text paywalled; author-repository metadata supports identity
80f6ce263b2ef78e14437752d0f54305c41ae9da,rissebohme-wrongexam2024,current refs.bib entry,2024,2024,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,anthropicgtgreport2025,current refs.bib entry,2025,2025,anthropic.com,full-text extracted official/participant source,False,True,PASS: source-mapped text,PASS: manifest/source identity,QUALIFIED/DIRECT per source type; vendor or participant qualifiers retained,current record matches BibTeX,vendor full-report extract; designation and human checkpoints verified
80f6ce263b2ef78e14437752d0f54305c41ae9da,darparesults2025,current refs.bib entry,2025,2025,darpa.mil,official web source,False,False,PASS: official source URL,PASS: source-map identity,DIRECT/QUALIFIED only for cited official-page statements,current record matches BibTeX,54/63 and 43/68 aggregates; 70-to-63 editor correction
80f6ce263b2ef78e14437752d0f54305c41ae9da,darpascoring2025,current refs.bib entry,2025,2025,darpa.mil,official web source,False,False,PASS: official source URL,PASS: source-map identity,DIRECT/QUALIFIED only for cited official-page statements,current record matches BibTeX,three-to-one patch incentive and $8.5M final pool
80f6ce263b2ef78e14437752d0f54305c41ae9da,darpa2023aixcc,current refs.bib entry,2023,2023,darpa.mil,official web source,False,False,PASS: official source URL,PASS: source-map identity,DIRECT/QUALIFIED only for cited official-page statements,current record matches BibTeX,2023 announcement; cumulative $29.5M program commitment
80f6ce263b2ef78e14437752d0f54305c41ae9da,cvegenie2025,current refs.bib entry,2025,2025,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,patcheval2025,current refs.bib entry,2025,2025,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,llmaprsurvey2026,current refs.bib entry,2026,2026,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,BibTeX title verified against local PDF; differs from legacy survey wording
80f6ce263b2ef78e14437752d0f54305c41ae9da,logsinpatchesout2025,current refs.bib entry,2025,2025,34th USENIX Security Symposium (USENIX Security 25),full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,cvebench2025,current refs.bib entry,2025,2025,ICML 2025,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,pentestgpt2024,current refs.bib entry,2024,2024,33rd USENIX Security Symposium (USENIX Security 24),full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,coredteam2026,current refs.bib entry,2026,2026,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,cybergym2026,current refs.bib entry,2026,2026,ICLR 2026,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,arXiv identifier 2506; ICLR publication year 2026; legacy local filename documented,local file is arXiv v3/ICLR 2026 despite legacy filename
80f6ce263b2ef78e14437752d0f54305c41ae9da,llm4cve2025,current refs.bib entry,2025,2025,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
80f6ce263b2ef78e14437752d0f54305c41ae9da,repoaudit2025,current refs.bib entry,2025,2025,arXiv preprint,full-text local PDF+TXT,True,True,PASS: first-page PDF identity,PASS: Bib/manifest/source identity aligned,RECHECKED: use bounded by local source and claim ledger,current record matches BibTeX,
