claim_id,section,main_locator,claim_text,citation_keys,primary_source_locator,evidence_class,qualifier_status,support_verdict,audit_note,priority
C016,Methodology,L200-L209,"Screening operated on 316 distinct arXiv IDs plus seed/chaining records and ended with 36 records.","search log; internal corpus",docs/search-log.md; corpus/included,"selection accounting","multi-stream denominators",DIRECT,"The 316 pool is not a total across Streams A--C.",P1
C017,Methodology,L203-L207,"The final corpus is described as 23 full-text academic works, 2 restricted surveys, 10 competition/industrial primaries, and 1 registry record.","internal corpus",references/manifest.csv + corpus records,"corpus accounting","source-layer versus record-layer distinction",QUALIFIED,"Breakdown is a source/record-role summary and should not be read as 50 unique empirical systems.",P1
C018,Methodology,L207-L209,"Four candidates were excluded and saturation stopped after two passes without axis-level novelty.","search log; saturation rationale",docs/search-log.md; corpus/saturation-rationale.md,"selection protocol","author-reported procedure",DIRECT,"Procedural claim; reproducibility depends on the logged decisions.",P2
C019,Methodology,L211-L219,"General-purpose software-engineering systems were eligible when evaluated on security-specific tasks.","internal protocol",docs/research-protocol.md:inclusion criteria; main.tex:eligibility paragraph,"method rule","author-defined",DIRECT,"Eligibility rule is explicit and applied to Agentless/AutoCodeRover examples.",P2
C020,Methodology,L229-L237,"A3 requires independent planning, execution, validation, and reporting in an E2 production or production-like external target.","internal taxonomy",docs/research-protocol.md:autonomy and environment rules,"operational definition","author-defined",DIRECT,"No external citation is required; this is the paper's coding rule.",P1
C021,Methodology,L242-L259,"The 14 autonomy-assessed records were recoded and boundary cases received additional review; GTG-1002 uncertainty was preserved.","internal audit record",main.tex:limitations + evidence/autonomy-loop-assignments.csv,"method report","same-coder repeat; no independent inter-rater study",QUALIFIED,"Supports within-coder stability only; it does not establish inter-rater reliability.",P1
C022,Framework,L280-L292,"The decision-authority test distinguishes fixed-controller A1, task-level A2, and four-verb-plus-E2 A3 behavior.","internal taxonomy",docs/research-protocol.md:decision-authority test,"operational framework","author-defined",DIRECT,"Taxonomy semantics are explicit and separate from marketing labels.",P1
C023,Framework,L282-L290,"AIxCC is E1 while ARTEMIS is E2 under the paper's target-environment rule.","tobbuttercup2025; artemis2025",references/txt/tob-buttercup-2025.txt:competition environment; references/txt/artemis-vs-professionals-2025.txt:target description,"classification synthesis","E1 competition versus E2 live enterprise network",QUALIFIED,"E-class is an audit classification, not a source's own label.",P1
C024,Framework,L299-L304,"The map uses neutral connectors for documented multi-phase coverage and does not infer a sequence.","internal figure",figures/autonomy-loop-map.tex:connector key,"visual encoding","author-defined",DIRECT,"Connector semantics are stated in the caption and source.",P2
C025,Framework,L301-L304,"Map counts are reconciled against YAML and assignment data.","internal corpus",corpus/included + evidence/autonomy-loop-assignments.csv,"cross-artifact check","frozen table view",DIRECT,"The manuscript no longer claims a missing generator produced the table.",P1
C026,Migration,L307-L320,"The system-bearing evidence shifts from pipeline automation toward A2 task agents across industrial, competition, and live-network records.","ossfuzz-levelingup-2024; bigsleep2024; darknavyargusee2025; xbowtop12025; r7sokaixcc2026; artemis2025",mapped primary extracts,"cross-sectional synthesis","not longitudinal",QUALIFIED,"The manuscript explicitly says this is cross-sectional and avoids a field-wide migration claim.",P1
C027,Discovery,L412-L425,"OSS-Fuzz's LLM workflow generated 26 vulnerabilities, including CVE-2024-9143, and described finding/fixing as separate stages.","ossfuzz-levelingup-2024",references/txt/ossfuzz-levelingup-2024.txt:verified workflow and results,"vendor blog","vendor-reported",DIRECT,"Claim is attributed to the Google Security Blog.",P1
C028,Discovery,L427-L438,"Big Sleep used human-curated seeds, reported a SQLite finding, and cited AIxCC as inspiration.","bigsleep2024",references/txt/pz-bigsleep-sqlite-2024.txt:target rationale and guardrails,"vendor blog","vendor-reported; human seed qualifier",QUALIFIED,"Human seed curation is decisive for the A2 classification.",P1
C029,Discovery,L441-L450,"Argusee documented manager/auditor/checker roles, human-supplied entry points, a root LPE, 15 vendor-reported flaws, and 100% on CSEv2.","darknavyargusee2025",references/txt/darknavy-argusee-2025.txt:architecture and results,"vendor report","vendor-reported; saturation metric",QUALIFIED,"The source says the root LPE was obtained by a human team and the system was not from-scratch auditing.",P1
C030,Discovery,L452-L464,"XBOW reported approximately 1,060 submissions, 130 resolved, 303 triaged, 208 duplicate, and 209 informative outcomes.","xbowtop12025",references/txt/xbow-top1-2025.txt:funnel table,"vendor blog","vendor-reported snapshot",DIRECT,"Counts are reproduced as source-reported and not treated as independently audited.",P1
C031,Discovery,L458-L464,"208 duplicate plus 209 informative outcomes are roughly 39% of approximately 1,060 submissions.","xbowtop12025",computed from source-reported funnel: 417/1060=39.34%,"derived arithmetic","denominator approximate",DIRECT,"Rounded wording is correct; categories are not called generic error noise.",P1
C032,Discovery,L466-L472,"ARTEMIS compared six agents with ten professionals on about 8,000 hosts and 12 subnets, evaluating the first 10 hours of 16-hour runs.","artemis2025",references/txt/artemis-vs-professionals-2025.txt:abstract and experiment setup,"controlled live-network experiment","version/date qualified",DIRECT,"The local PDF is v2 dated March 2026; first posting was December 2025.",P1
C033,Discovery,L466-L472,"ARTEMIS is evidence of operation on a large research-university enterprise network, not evidence of unrestricted production deployment.","artemis2025",references/txt/artemis-vs-professionals-2025.txt:target and monitoring description,"classification inference","human observers and fixed study scope",INFERRED,"E2 is the paper's production-like environment classification, not an assertion of unbounded autonomy.",P1
C034,AIxCC,L519-L527,"CVE-Bench reports up to 13% exploitation of critical-severity CVEs in sandboxed environments; Co-RedTeam reports over 60% exploitation success across benchmarks; CyberGym scales to 1,507 vulnerabilities across 188 projects.","cvebench2025; coredteam2026; cybergym2026",mapped local extracts and CyberGym arXiv record,"benchmark/experiment reports","conditions differ across studies",QUALIFIED,"These figures are not combined into one comparative rate.",P1
C035,AIxCC,L530-L536,"AIxCC had 42 semifinal entrants, seven finalists, $2M finalist awards, and a final intended to mimic a real-world CI/CD pipeline.","openssfaixcc2026; tobbuttercup2025; r7sokaixcc2026",references/txt/openssf-aixcc-retrospective-2026.txt; references/txt/tob-buttercup-2025.txt; references/txt/r7-sok-aixcc-2026.txt,"competition record","participant/foundation wording",QUALIFIED,"42 is reported as entrants/submissions by sources; 'accepted teams' was removed.",P1
C036,AIxCC,L535-L540,"Human interaction was prohibited during scored operation and patching received three times the discovery score (6 versus 2).","tobbuttercup2025; taasc2024; darpascoring2025",references/txt/tob-buttercup-2025.txt:rules; DARPA scoring page,"official/participant competition record","scored E1 setting",DIRECT,"This does not imply A3 under the paper's E2 requirement.",P1
C037,AIxCC,L539-L545,"Team Atlanta reports 91.27% PoV-validated accuracy as a 0.9999 modifier and reports Theori's 44.4% as 0.9044.","taafc2025",Team Atlanta AFC blog: scoring discussion,"participant account","source-reported values",DIRECT,"The manuscript explicitly labels the second value source-reported because the displayed formula recomputes to 0.9047.",P1
C038,AIxCC,L543-L548,"Trail of Bits reports 48 challenges across 23 repositories, while R7 counts 48 scored projects from 24 OSS-Fuzz repositories.","tobbuttercup2025; r7sokaixcc2026",references/txt/tob-buttercup-2025.txt:final structure; references/txt/r7-sok-aixcc-2026.txt:final analysis,"cross-source discrepancy","different repository denominators",PARTIAL,"The 48-unit numerator is compatible; the repository denominator is unresolved between primary accounts.",P1
C039,AIxCC,L548-L557,"R7 reports approximately 143 hours of autonomous CRS operation by all seven finalist teams.","r7sokaixcc2026",references/txt/r7-sok-aixcc-2026.txt:competition overview,"academic systematization","competition-bounded",QUALIFIED,"Use as R7's systematization record, not as independent telemetry.",P1
C040,AIxCC,L550-L557,"Team Atlanta reports six C/C++ and twelve Java real bugs found collectively during the final.","taafc2025",Team Atlanta AFC blog: real-bug discussion,"participant account","collective/team-reported",QUALIFIED,"The count is not presented as an independently adjudicated global total.",P1
C041,AIxCC,L550-L554,"Trail of Bits demonstrated a PoV for a vulnerability not inserted into a challenge, and Team Atlanta's real SQLite find did not score.","tobbuttercup2025; taasc2024",references/txt/tob-buttercup-2025.txt:non-inserted PoV; references/txt/teamatlanta-sqlite-asc2024.txt:scoring note,"participant accounts","unscored real-bug evidence",DIRECT,"Supports spillover, not the final synthetic score.",P1
C042,AIxCC,L554-L560,"DARPA reports 54 unique synthetic vulnerabilities across 63 final challenges, 43 patched, 18 real non-synthetic vulnerabilities, and 11 real patches.","darparesults2025",DARPA closeout page,official closeout","editor-corrected record",DIRECT,"The manuscript now distinguishes 63 final challenges from 54 synthetic vulnerabilities.",P1
C043,AIxCC,L559-L561,"DARPA corrected an earlier synthetic-vulnerability count from 70 to 63.","darparesults2025",DARPA closeout editor note,official closeout","administrative record correction",DIRECT,"This is not classified as contamination or oracle failure.",P1
C044,AIxCC,L563-L591,"Atlantis used N-version programming, ensemble fuzzing/concolic execution, and a PoV-reexecution validator; Buttercup used deterministic workflows and reported $181 per point versus Atlanta's $263.","taafc2025; tobbuttercup2025; r7sokaixcc2026",mapped participant reports and R7 analysis,"competition architecture reports","participant/systematization provenance",QUALIFIED,"Architecture and cost descriptions are source-reported and competition-bounded.",P2
C045,AIxCC,L584-L590,"Atlanta, Trail of Bits, and Theori compute totals are $103.3K, $39.6K, and $31.8K.","r7sokaixcc2026; tobbuttercup2025",R7 cost table + Trail of Bits account,"cross-source competition accounting","two primary accounts agree",DIRECT,"The claim is about reported team-level compute totals, not independently audited spend.",P1
C046,AIxCC,L598-L613,"Atlantis nearly disabled itself because an 'ossfuzz' directory prefix triggered a 'fuzz' substring heuristic.","taafc2025",Team Atlanta AFC blog: heuristic failure,"participant account","documented operational failure",DIRECT,"Good V4 exemplar; quoted wording is attributed to the participant account.",P1
C047,AIxCC,L632-L645,"Atlantis autonomously identified and patched a real SQLite FTS5 vulnerability during semifinals in approximately 15 minutes, while the subsequent root-privilege demonstration was not autonomous.","taasc2024",Team Atlanta ASC blog: discovery/fix narrative,"participant account","human follow-up preserved",QUALIFIED,"The system finding/patching and later exploit demonstration are separate events.",P1
C048,AIxCC,L654-L661,"AIxCC demonstrates integrated B1+B2+B3 operation with execution autonomy in an E1 competition setting, but does not satisfy the E2-based A3 predicate.","tobbuttercup2025; taasc2024; r7sokaixcc2026",competition reports and R7 analysis,"classification synthesis","four-verb + E2 rule",QUALIFIED,"The bounded finding remains the exact A3 statement elsewhere in the manuscript.",P1
C049,AIxCC,L663-L676,"Ada Logics reproduced 27 candidate real issues and post-competition adjudication eliminated or reclassified other findings.","openssfaixcc2026",references/txt/openssf-aixcc-retrospective-2026.txt:post-competition triage,"foundation-relayed retrospective","third-party reproduction exemplar; foundation relay",QUALIFIED,"27 is an Ada Logics reproduction figure reported by OpenSSF, not a full independent audit of all submissions.",P1
C050,Patching,L684-L709,"SWE-agent, AutoCodeRover, Agentless, and CodeRover-S establish a contrast between dynamic agent actions and fixed pipelines.","sweagent2024; autocoderoever-2024; agentless2024; ossfuzz-aifixing-2024",mapped local PDFs/TXTs,"academic systems","security-specific versus general SWE scope",QUALIFIED,"SWE-agent and AutoCodeRover are general SWE systems; security classifications follow the stated eligibility rule.",P1
C051,Patching,L706-L710,"CodeRover-S reports 52.4% repair efficacy on the paper's curated real-vulnerability evaluation and 63% for the 2024-detected subset.","ossfuzz-aifixing-2024",references/txt/ossfuzz-aifixing-2024.txt:abstract/results,"academic experiment","paper conditions",DIRECT,"The YAML now records both rates with their scopes instead of leaving a pending marker.",P1
C052,Patching,L710-L716,"CVE-Genie reports approximately 51% verifiable CVE reproduction at an average cost of $2.77 per CVE.","cvegenie2025",references/txt/cve-genie-2025.txt:results/cost,"academic experiment","paper-reported",QUALIFIED,"No independent replication is claimed.",P2
C053,Patching,L716-L724,"Tree-of-thought execution feedback improves security patch correctness relative to direct generation, and LLM4CVE provides iterative repair with minimal human input.","logsinpatchesout2025; llm4cve2025",mapped local extracts,"academic experiments","comparative conditions required",QUALIFIED,"The manuscript does not convert this into a common effect size.",P2
C054,Patching,L727-L741,"PoV-passing patches can avoid semantic repair through recompilation/MTE/PAC or broad exception wrapping, motivating secondary oracles.","taafc2025",Team Atlanta AFC blog: patch validation,"participant technical report","documented mitigation gaming",DIRECT,"This supports the V5 interpretation, not a claim that every PoV patch is invalid.",P1
C055,Patching,L741-L757,"B4 is documented only as ecosystem transition and lacks an academic evaluation with regression metrics.","openssfaixcc2026; tobbuttercup2025; taafc2025",OpenSSF retrospective + participant reports,"corpus absence/synthesis","bounded to included corpus",QUALIFIED,"Negative corpus claims require the stated search and inclusion boundary.",P1
C056,Coevolution,L763-L767,"Big Sleep explicitly names AIxCC as the inspiration for its SQLite testing.","bigsleep2024",references/txt/pz-bigsleep-sqlite-2024.txt:target rationale,"documented response","direct named edge",DIRECT,"D1 is the strongest causal-language edge because the source states mechanism and timing.",P1
C057,Coevolution,L768-L779,"The SQLite maintainer extended an AI-found fix to sibling tokenizer paths and revised the follow-up patch.","taasc2024",references/txt/teamatlanta-sqlite-asc2024.txt:maintainer-fix narrative,"documented response","human maintainer response",DIRECT,"D2 is maintainer-side response, not proof of field-wide co-evolution.",P1
C058,Coevolution,L780-L786,"AIxCC transition incentives reached up to $200K per team and OpenSSF reported post-competition FuzzingBrain/OSS-CRS yields.","darparesults2025; openssfaixcc2026",DARPA closeout + OpenSSF retrospective,"institutional flow","team/foundation-reported counts",QUALIFIED,"Funding and governance are observable; yield figures remain relayed.",P1
C059,Coevolution,L789-L797,"Google's CVE-2025-6965 disclosure attributes the issue to threat intelligence and claims an AI agent directly foiled exploitation efforts.","bloggoogle2025; nvd6965",references/txt/bloggoogle-summer2025.txt; references/txt/nvd-cve-2025-6965-full.txt,"vendor disclosure + registry","threat premise/counterfactual unverifiable",QUALIFIED,"The manuscript labels the claim as process evidence, not verified attack prevention.",P1
C060,Coevolution,L799-L810,"GTG-1002 used Claude Code for 80--90% of execution while humans selected targets and retained strategic decisions.","anthropicgtg2025; anthropicgtgreport2025",mapped summary and full-report extracts,"vendor incident report","single-source; hallucination caveat",QUALIFIED,"This supports uncertain/A2-high coding, not A3.",P1
C061,Coevolution,L809-L810,"$29.5M, $8.5M, and $30.5M refer to cumulative commitment, final competition pool, and distributed rounds respectively.","darpa2023aixcc; darpascoring2025; openssfaixcc2026",DARPA 2023 announcement; DARPA scoring guide; OpenSSF retrospective,"program accounting","different boundaries",DIRECT,"The three amounts are not competing totals for one accounting boundary.",P1
C062,Validity,L886-L895,"Fang's 87% versus 7% result is a controlled information-condition intervention on 15 one-day vulnerabilities.","fang2024agents",references/txt/fang-agents-exploit-one-day-2024.txt:abstract,"controlled experiment","with/without description",DIRECT,"The manuscript keeps the supplied-description qualifier.",P1
C063,Validity,L895-L897,"A substantial subset of Fang's evaluated vulnerabilities post-dated the relevant model cutoff.","fang2024agents",references/txt/fang-agents-exploit-one-day-2024.txt:model cutoff analysis,"controlled experiment","11/15 post-cutoff source detail not promoted to headline",QUALIFIED,"The paper reports the weaker wording and avoids silently substituting the 11/15 detail.",P2
C064,Validity,L898-L905,"PrimeVul identifies label noise, near duplicates, and public exposure; a 7B detector drops from 68.26% F1 on BigVul to 3.09% on the paired evaluation.","primevul2024",references/txt/primevul-how-far-are-we-2024.txt:abstract/Table,"dataset/measurement study","dataset-specific paired comparison",DIRECT,"Exact source numbers and evaluation boundary are preserved.",P1
C065,Validity,L905-L910,"Argusee reports 100% on CSEv2 buffer-overflow cases while relying on human-supplied entry points.","darknavyargusee2025",references/txt/darknavy-argusee-2025.txt:benchmark result and entry-point description,"vendor report","saturation + human-entry qualifier",QUALIFIED,"The score is not interpreted as unrestricted autonomous discovery.",P1
C066,Validity,L919-L923,"XBOW's duplicate/informative categories demonstrate that leaderboard totals combine heterogeneous outcomes.","xbowtop12025",references/txt/xbow-top1-2025.txt:funnel,"vendor measurement","category-definition issue",INFERRED,"The source reports categories; the non-decomposable leaderboard interpretation is the paper's analysis.",P1
C067,Validity,L925-L932,"The DARPA 70-to-63 revision is treated as an administrative record correction rather than a validity failure.","darparesults2025",DARPA closeout editor note,"official record correction","version/date aware",DIRECT,"Terminology follows the locked protocol amendment.",P1
C068,Validity,L934-L946,"The five-part contamination-control protocol is not satisfied by any included evaluation.","internal corpus",main.tex:protocol comparison across included records,"bounded corpus negative","protocol-defined absence",QUALIFIED,"This is a corpus-level audit conclusion, not a universal claim about all evaluations.",P1
C069,Validity,L948-L956,"Fang's reported Pass@5 is 86.7%, overall description-supplied exploitation is 40%, and overall no-description success is 7%.","fang2024agents",references/txt/fang-agents-exploit-one-day-2024.txt:results,"controlled experiment","distinct metrics/conditions",DIRECT,"Pass@5 is not conflated with the 87% per-vulnerability figure.",P1
C070,Validity,L956-L963,"PrimeVul's reconstruction changes a 68.26% BigVul F1 result to 3.09% in the paired evaluation.","primevul2024",references/txt/primevul-how-far-are-we-2024.txt:abstract/Table,"dataset reconstruction","dataset/model condition",DIRECT,"Repeated as a validity anchor with its conditions.",P1
C071,Validity,L963-L980,"XBOW's 208 duplicate and 209 informative outcomes comprise roughly 39% of approximately 1,060 submissions.","xbowtop12025",source funnel + arithmetic 417/1060,"vendor measurement","approximate denominator",DIRECT,"Arithmetic and category labels are checked in NUMERIC_FACT_AUDIT.csv.",P1
C072,Threats,L1003-L1007,"Publication bias leaves silent commercial, state, and internal red teams structurally invisible.","internal synthesis",main.tex:threats,"methodological inference","visibility boundary",INFERRED,"This is a limitation inference from the corpus acquisition design, not a measured population estimate.",P2
C073,Threats,L1024-L1026,"Leaderboard and model/version statistics are time-varying snapshots.","xbowtop12025; bigsleep2024",source datelines and manuscript temporal caveat,"temporal limitation","snapshot qualification",DIRECT,"The manuscript dates claims to source datelines.",P2
C074,Appendix,L1180-L1238,"Tables II and IV contain the same 36 canonical record IDs and the normalized uncertain GTG value.","internal corpus",evidence/autonomy-loop-assignments.csv; corpus/included; main.tex tables,"cross-artifact reconciliation","record-layer authoritative",DIRECT,"Table counts are checked by scripts and audit commands.",P1
C075,Appendix,L1260-L1272,"The timeline separates detected and reported GTG dates and labels R7's release/publication dates.","anthropicgtg2025; anthropicgtgreport2025; r7sokaixcc2026",mapped extracts and arXiv record,"timeline accounting","discrete event dates",QUALIFIED,"R7 has a February preprint and August publication; the figure uses discrete month labels.",P2
C076,Appendix,L1288-L1310,"Sensitivity scenarios relax explicit predicates; S1 admits XBOW, S2/S3 admit none, and S4 admits XBOW plus the AIxCC CRS cluster under the altered rule.","internal taxonomy + candidate evidence",main.tex:counterfactual table,"counterfactual classification","X and V remain mandatory",QUALIFIED,"These are not strict A3 assignments and do not replace the bounded core finding.",P1
