audit_head,record_id,citation_key,yaml_reference_key,yaml_year,csv_year,table_year,yaml_unit,csv_unit,table_unit,yaml_autonomy,csv_autonomy,table_autonomy,yaml_loop,csv_loop,table_loop,yaml_eclass,table_eclass,yaml_access,csv_access,table_access,table_present,predicate_status
80f6ce263b2ef78e14437752d0f54305c41ae9da,fang2024one-day,fang2024agents,fang2024one-day,2024,2024,2024,experiment,experiment,experiment,A2,A2,A2,B2,B2,B2,controlled experiment,controlled experiment,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,gtg1002-2025,anthropicgtg2025,gtg1002-2025,2025,2025,2025,incident-documentation,incident-documentation,incident-documentation,uncertain,uncertain,unresolved,B1+B2,B1+B2,B1+B2,incident report,incident report,html-primary,html-primary,HTML,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,intercode2023bg,intercode2023,intercode2023bg,2023,2023,2023,benchmark,benchmark,benchmark,A1,A1,A1,B2,B2,B2,benchmark(bg),benchmark,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,mcpeco2025,mcpfirstlook2025,mcpeco2025,2025,2025,2025,measurement-study,measurement-study,measurement-study,n-a,n-a,n/a,n-a,n-a,n/a,measurement,measurement,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,mcpgov2025,mcpgovernance2025,mcpgov2025,2025,2025,2025,documentary-source,documentary-source,documentary-source,n-a,n-a,n/a,n-a,n-a,n/a,positional/measurement,positional/measurement,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,mcppoison2026,mcppoisoning2026,mcppoison2026,2026,2026,2026,documentary-source,documentary-source,documentary-source,n-a,n-a,n/a,n-a,n-a,n/a,analysis/experiment,analysis/experiment,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,mcpspec2026,mcpspec2026,mcpspec2026,2026,2026,2026,documentary-source,documentary-source,documentary-source,n-a,n-a,n/a,n-a,n-a,n/a,analysis,analysis,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,nvdcve20256965,nvd6965,nvdcve20256965,2025,2025,2025,registry,registry,registry,n-a,n-a,n/a,n-a,n-a,n/a,registry,registry,html-primary,html-primary,HTML,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,nyuctfbench2024,nyuctfbench2024,nyuctfbench2024,2024,2024,2024,benchmark,benchmark,benchmark,n/a,n/a,n/a,n/a,n/a,n/a — probed {B2},benchmark,benchmark,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,openssfretro2026,openssfaixcc2026,openssfretro2026,2026,2026,2026,program-record,program-record,program-record,n-a,n-a,n/a,B4,B4,"B4 — documents post-competition B3$to$B4 institutionalization (SIG hosting, transition funding, ecosystem stats)",foundation closeout,foundation closeout,html-primary,html-primary,HTML,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,ossfuzz-aifixing-2024,ossfuzz-aifixing-2024,ossfuzz-aifixing-2024,2024,2024,2024,experiment,experiment,experiment,A2,A2,A2,B3,B3,B3,experiment,experiment,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,ossfuzz-levelingup-2024,ossfuzz-levelingup-2024,ossfuzz-levelingup-2024,2024,2024,2024,system,system,system(pipeline),A1,A1,A1,B1,B1,B1,industrial-system-report,industrial-system-report,html-primary,html-primary,HTML,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,primevul2024,primevul2024,primevul2024,2024,2024,2024,dataset,dataset,dataset,n-a,n-a,n/a,n/a,n/a,n/a — B1 detection (dataset standard),dataset/validity study,dataset/validity study,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,r1slr2024,r1slr2024,r1slr2024,2024,2024,2024,survey,survey,survey,n-a,n-a,n/a,n-a,n-a,n/a,survey,survey,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,r2slr2024,r2slr2024,r2slr2024,2024,2024,2024,survey,survey,survey,n-a,n-a,n/a,n-a,n-a,n/a,survey,survey,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,r3survey2026,r3survey2026,r3survey2026,2026,2026,2026,survey,survey,survey,n-a,n-a,n/a,n-a,n-a,n/a,survey,survey,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,r4csur2025,r4csur2025,r4csur2025,2026,2026,2026,survey,survey,survey,n-a,n-a,n/a,n-a,n-a,n/a,survey(restricted),survey,paywalled,paywalled,payw.,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,r5usenix26agentic,r5usenix26agentic,r5usenix26agentic,2026,2026,2026,survey,survey,survey,n-a,n-a,n/a,n-a,n-a,n/a,survey(restricted),survey,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,r6tosem2026,r6tosem2026,r6tosem2026,2026,2026,2026,survey,survey,survey,n-a,n-a,n/a,n-a,n-a,n/a,survey(restricted),survey,paywalled,paywalled,payw.,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,r7sokaixcc2026,r7sokaixcc2026,r7sokaixcc2026,2026,2026,2026,survey(systematization),survey(systematization),survey(systematization),n/a,n/a,n/a,n/a,n/a,n/a,competition,competition,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,rissebohme-wrongexam2024,rissebohme-wrongexam2024,rissebohme-wrongexam2024,2024,2024,2024,,,critique,n-a,n-a,n/a,n-a,n-a,n/a,validity-critique,validity-critique,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,sweagent2024,sweagent2024,sweagent2024,2024,2024,2024,system,system,system(experiment-benchmark),A2,A2,A2,B3,B3,B3,benchmark/experiment,benchmark/experiment,oa-pdf,oa-pdf,PDF,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,teamatlanta-afc2025,taafc2025,teamatlanta-afc2025,2025,2025,2025,system,system,system,A2,A2,A2,B1+B2+B3,B1+B2+B3,B1+B2+B3,competition-participant,competition-participant,html-primary,html-primary,HTML,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,teamatlanta-sqlite2024,taasc2024,teamatlanta-sqlite2024,2024,2024,2024,system,system,system,A2,A2,A2,B1+B2+B3,B1+B2+B3,B1+B2+B3,competition-participant,competition-participant,html-primary,html-primary,HTML,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,tob-buttercup2025,tobbuttercup2025,tob-buttercup2025,2025,2025,2025,system,system,system,A2,A2,A2,B1+B2+B3,B1+B2+B3,B1+B2+B3,competition-participant,competition-participant,html-primary,html-primary,HTML,True,PASS
80f6ce263b2ef78e14437752d0f54305c41ae9da,xbow2025,xbowtop12025,xbow2025,2025,2025,2025,system,system,system,A2,A2,A2,B1+B2,B1+B2,B1+B2,production stats,production stats,html-primary,html-primary,HTML,True,PASS
