citation_key,entry_type,cited_occurrences,canonical_record_id,source_map_present,source_type,authority,corpus_role,local_pdf,local_text,provenance,metadata_audit,notes
darpa2023aixcc,misc,3,,yes,darpa_official,primary,background_anchor,no,no,WEBFETCH-FULLTEXT,PASS,official announcement URL repaired; source-layer background anchor
fang2024agents,misc,3,fang2024one-day,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
ossfuzz-aifixing-2024,misc,3,ossfuzz-aifixing-2024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
agentless2024,misc,2,agentless2024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
artemis2025,misc,2,artemis2025,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
cvebench2025,inproceedings,2,,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
nvd6965,misc,2,nvdcve20256965,yes,registry_record,primary,included_record,no,yes,PDF+TXT,PASS,manifest URL/path/provenance aligned to local full text
r1slr2024,misc,2,r1slr2024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
r2slr2024,misc,2,r2slr2024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,authors aligned to arXiv v4 (Basic; Giaretta)
r3survey2026,misc,2,r3survey2026,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,arXiv subject cs.SE; comparator marked out-of-window
r4csur2025,article,2,r4csur2025,yes,peer_reviewed_paper,paywalled,included_record,no,no,REPO-METADATA-ONLY,LIMITED,ACM DOI/index metadata verified; full text paywalled; year/venue aligned to 2026.
r5usenix26agentic,inproceedings,2,r5usenix26agentic,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
r6tosem2026,article,2,r6tosem2026,yes,peer_reviewed_paper,paywalled,included_record,no,no,METADATA-ONLY,LIMITED,Full text paywalled; author repository supports bibliometric metadata only.
rissebohme-wrongexam2024,misc,2,rissebohme-wrongexam2024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,Jing Liu restored from primary record
autocoderoever-2024,misc,1,autocoderoever-2024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
coredteam2026,misc,1,,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
csev12023bg,misc,1,csev12023bg,yes,peer_reviewed_paper,primary,background_anchor,yes,yes,PDF+TXT,PASS,
csev22024,misc,1,csev22024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
csev32024,misc,1,csev32024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
cvegenie2025,misc,1,,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
cybench2024,inproceedings,1,cybench2024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
cybergym2026,inproceedings,1,,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,local file legacy name cybergym-2025; source-map key normalized
intercode2023,misc,1,intercode2023bg,yes,peer_reviewed_paper,primary,background_anchor,yes,yes,PDF+TXT,PASS,
llm4cve2025,misc,1,,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
llmaprsurvey2026,misc,1,,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
logsinpatchesout2025,inproceedings,1,,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
mcpfirstlook2025,inproceedings,1,mcpeco2025,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
mcpgovernance2025,misc,1,mcpgov2025,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
mcppoisoning2026,misc,1,mcppoison2026,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
mcpspec2026,misc,1,mcpspec2026,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
nyuctfbench2024,misc,1,nyuctfbench2024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
patcheval2025,misc,1,,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
pentestgpt2024,inproceedings,1,,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
repoaudit2025,misc,1,,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
sweagent2024,misc,1,sweagent2024,yes,peer_reviewed_paper,primary,included_record,yes,yes,PDF+TXT,PASS,
